time,students,temperature,appliances,humidity,day_of_week,is_weekend,num_classes,random_noise,building_color_code,id_number,energy
6,213,35.14,19,20.84,3,0,7,-0.9,263.75,1.69,916.27
19,256,21.94,15,25.98,2,0,2,0.06,316.65,1.82,917.74
14,493,19.54,12,34.61,2,0,7,1.59,369.02,2.07,1372.6
10,222,33.73,30,21.79,3,0,5,-0.3,730.78,4.61,1018.39
7,211,35.18,49,32.92,4,0,5,1.31,946.48,5.49,1301.57
20,116,39.76,48,60.92,3,0,6,-1.2,498,6.84,1339.1
6,340,25.24,9,49.59,6,1,9,-0.54,285.58,7.14,965.7
18,445,24.31,10,82.69,4,0,6,-1.41,718.36,7.42,1417.35
22,326,34.45,30,77.21,2,0,8,0.07,827.46,9.97,1511.59
10,354,23.53,8,43.79,0,0,7,0.81,311.1,9.8,1145.58
10,454,38.27,23,38.27,5,1,9,0.06,684.33,8.59,1391.4
23,433,36.58,24,47.02,6,1,4,1.23,655.29,11.19,1399.51
20,443,25.85,37,61.41,6,1,2,-0.77,941.31,11.88,1272.88
3,186,33.74,24,39.01,2,0,7,0.24,908.44,14.84,901.86
7,244,33.84,16,64.06,2,0,6,-0.53,327.1,15.79,1123.67
23,450,17.51,5,48.92,1,0,1,0.35,793.96,15.03,1182.01
2,178,37.42,30,58.8,6,1,9,0.49,718.13,16.09,1105.53
21,81,27.56,18,50.39,1,0,9,0.58,696.32,17.72,926.36
20,226,35.77,42,40.22,1,0,2,-1.08,947.26,19.84,1237.84
1,493,23.01,41,86.33,5,1,3,-0.9,346.19,20.26,1374.14
23,421,37.23,15,73.72,1,0,5,-0.7,972.55,21.1,1475.32
11,423,24.78,40,29.96,4,0,5,-0.25,540.16,21.62,1442.39
5,72,15.25,17,80.5,3,0,1,0.08,631.75,23.15,575.88
1,288,37.55,47,54.34,0,0,8,0.7,298.05,23.14,1500.02
20,206,17.34,7,82.45,2,0,8,-0.84,790.7,24.94,975.64
0,87,23.01,37,76.32,4,0,4,-1.59,619.01,25.1,908.43
11,280,38.71,10,49.55,0,0,7,2.15,175.78,26.39,1233.57
21,414,38.73,14,21.9,6,1,3,-1.11,735.88,29.19,1196.59
11,100,29.23,9,38.8,6,1,6,0.85,499.82,29.58,711.05
16,486,30.94,27,57.8,6,1,9,0.04,770.29,29.24,1507.72
9,311,26.18,14,64.14,4,0,1,0.26,858.06,30.13,1058.12
15,334,22.31,48,37.91,4,0,5,0.01,298.67,31.56,1321.96
14,76,23.21,6,29.75,2,0,4,-0.38,245.7,32.9,550.15
14,276,31.79,17,78.28,3,0,8,0.46,566.52,34.08,1255.02
18,326,33.92,44,89.18,1,0,1,-0.45,751.84,34.93,1352.51
11,337,34.76,6,56.85,6,1,9,1.17,303.53,35.7,1122.71
22,145,34.8,24,31.54,5,1,6,0.57,523,36.65,854.34
19,333,17.23,5,38.98,3,0,4,0.59,765.26,37.97,1011.67
2,414,27.37,41,21.14,5,1,9,-0.52,592.99,38.36,1421.39
4,497,16.53,13,83.89,2,0,5,-0.24,982.22,38.78,1251.37
18,365,28.69,21,28.32,2,0,5,-1.19,993.62,41.16,1277.83
6,355,25.89,13,60.13,2,0,5,-0.36,237.89,42.47,1199.3
20,198,37.35,15,38.86,0,0,1,-1.04,412.42,43.21,1033.59
8,56,23.83,19,58.72,5,1,1,1.33,265.47,44.2,558.37
6,82,18,28,65.54,3,0,8,0.06,413.5,45.27,895.5
17,238,18.53,42,77.77,3,0,8,0.17,119.4,44.43,1243.33
3,96,33.94,39,34.85,4,0,6,-0.21,179.35,47.05,1008.34
13,63,30.49,34,20.61,4,0,4,0.18,679.4,48.59,834.31
17,223,17.57,35,29.45,6,1,2,2.47,232.15,47.66,833.45
8,269,17.01,9,82.78,4,0,2,-0.31,703.44,50.09,889.64
20,207,32.62,48,81.12,2,0,9,-0.64,824.31,53.1,1478.3
1,94,16.69,18,62.36,3,0,5,0.53,401.98,51.92,753.04
19,421,35.61,15,62.14,5,1,4,-2.55,467.92,54.07,1323.52
14,57,32.63,13,66.65,2,0,1,0.05,960.84,55.71,772.25
6,146,17.08,38,32.16,0,0,7,-0.36,951.94,55.22,967.69
11,427,17.12,16,83.56,4,0,3,-0.97,484.31,55.2,1385.6
7,283,39.72,39,48.99,2,0,6,0.52,544.13,56.98,1278
14,86,24.43,39,46.82,2,0,5,0.06,525.92,59.53,914.16
2,329,24.18,5,55.95,0,0,5,-1.8,262.38,58.71,1090.22
13,398,35.4,44,23.33,1,0,5,-0.65,276.42,60.56,1499.34
16,350,38.65,26,31.66,3,0,1,-2.9,729.16,60.31,1339.15
3,230,39.71,33,71.68,5,1,1,0.3,807.31,61.54,1105.47
17,147,33.7,12,25.75,6,1,3,0.26,991.23,63.38,872.46
7,151,24.54,15,61.6,1,0,4,-0.79,585.27,64.62,757.19
3,236,17.12,45,36.94,4,0,5,0.55,423.44,63.99,1146.46
1,165,34.48,41,47.25,2,0,2,-1.3,694.34,66.87,1167.65
5,241,28.99,18,39.91,0,0,8,-0.97,385.69,67.94,997.32
21,302,25.55,34,44.83,0,0,2,0.41,695.18,67.96,1259.05
9,465,37.58,39,70.67,3,0,9,-0.7,767.38,69.72,1691.3
3,211,17.76,25,40.85,1,0,2,-0.06,669.99,70.08,830.93
21,306,27.27,41,59.72,6,1,9,-0.57,674.37,70.96,1345.88
17,373,15.26,9,53.12,3,0,7,-0.38,452.36,72.57,969.79
